icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
SSBE,,Camapua Airport,Camapua,Mato-Grosso-do-Sul,BR,1848,-19.59840012,-54.02109909,America/Campo_Grande,
SSBF,,Fazenda JL Airport,Aparecida Do Taboado,Mato-Grosso-do-Sul,BR,1400,-20.00444412,-51.38666534,America/Campo_Grande,
SSBG,BGV,Aeroclube de Bento Goncalves Airport,Bento Goncalves,Rio Grande do Sul,BR,2209,-29.1483326,-51.5363884,America/Sao_Paulo,
SSBH,,Fazenda Baia do Lara Airport,Corumba,Mato-Grosso-do-Sul,BR,453,-17.56777763,-55.28833389,America/Cuiaba,
SSBJ,,Bom Jesus Airport,Bom Jesus,Rio Grande do Sul,BR,3514,-28.61277771,-50.44944382,America/Sao_Paulo,
SSBK,,Fazenda Araruna Airport,Sonora,Mato-Grosso-do-Sul,BR,1886,-17.58277893,-54.64083481,America/Campo_Grande,
SSBL,BNU,Blumenau Airport,Blumenau,Santa Catarina,BR,60,-26.83060074,-49.09030151,America/Sao_Paulo,
SSBM,,Fazenda Lageado Airport,Dois Irmaos Do Buriti,Mato-Grosso-do-Sul,BR,932,-20.29750061,-55.42583466,America/Campo_Grande,
SSBN,,Belem Novo Airport,Porto Alegre,Rio Grande do Sul,BR,20,-30.18777847,-51.1827774,America/Sao_Paulo,
SSBO,,Palmares Airport,Bossoroca,Rio Grande do Sul,BR,787,-28.72222137,-54.89083481,America/Sao_Paulo,
SSBQ,,Frigorifico Marfrig Airport,Bataguassu,Mato-Grosso-do-Sul,BR,1230,-21.74666786,-52.47833252,America/Campo_Grande,
SSBR,,Bandeirantes Airport,Bandeirantes,Paraná,BR,1319,-23.07279968,-50.42309952,America/Sao_Paulo,
SSBS,,Fazenda Boa Esperanca Airport,Brasilandia,Mato-Grosso-do-Sul,BR,1155,-21.24916649,-52.28944397,America/Campo_Grande,
SSBT,,Fazenda Santa Ilidia Airport,Bataipora,Mato-Grosso-do-Sul,BR,1033,-22.32430077,-53.09500122,America/Campo_Grande,
SSBU,,Fazenda Baguacu - Miragem Airport,Porto Murtinho,Mato-Grosso-do-Sul,BR,1191,-21.45638847,-57.14027786,America/Campo_Grande,
SSBV,,Bela Vista Airport,Bela Vista,,BR,770,-22.08160019,-56.53860092,America/Asuncion,
SSBW,,Fazenda Boa Sorte Airport,Sidrolandia,Mato-Grosso-do-Sul,BR,1083,-20.91305542,-55.01361084,America/Campo_Grande,
SSBX,,Fazenda Lageado Airport,Coxim,Mato-Grosso-do-Sul,BR,696,-18.44166756,-54.79999924,America/Campo_Grande,
SSBY,,Orlando Chesini Ometto Airport,Miranda,Mato-Grosso-do-Sul,BR,443,-20.09950066,-56.79389954,America/Campo_Grande,
SSBZ,,Aeroclube Airport,Sapiranga,Rio Grande do Sul,BR,56,-29.67611122,-50.98138809,America/Sao_Paulo,
